Name,Address,Project_Status,Occupancy_Year,Design___Accessible_1BR,Design___Accessible_2BR,Design___Accessible_3BR,Design___Accessible_4BR,Design___Accessible_Studio,Design___Accessible_Room,Design___Adaptable_1BR,Design___Adaptable_2BR,Design___Adaptable_3BR,Design___Adaptable_4BR,Design___Standard_1BR,Design___Standard_2BR,Design___Standard_3BR,Design___Standard_4BR,Design___Standard_Studio,Design___Standard_Room,Clientele__Families,Clientele___Seniors,Clientele___Other,Operator,Operator_type,Local_Area,Index_Number,Latitude,Longitude,URL
Gastown Hotel,110 Water St,Completed,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,Not Yet Selected,1,Downtown,635,49.28363745,-123.10701237,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=635
Honoria Conway,4875 Heather St,Completed,2008,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,60,0,Providence Health Care Society,1,South Cambie,685,49.24200811,-123.12207964,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=685
Marr Hotel,401 Powell St,Completed,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29,Atira Women’s Resource Society,1,Strathcona,641,49.28335605,-123.09506057,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=641
Pennsylvania Hotel,412 Carrall St,Completed,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,44,PHS Community Services Society,1,Downtown,465,49.28111243,-123.10415426,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=465
Phoenix Apartments,514 Alexander St,Completed,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lookout Emergency Aid Society,1,Strathcona,693,49.28369517,-123.09241191,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=693
Shaldon Hotel,52 - 60 E Hastings St,Completed,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,Raincity Housing and Support Society,1,Downtown,636,49.28109008,-123.10300756,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=636
Tamura House,396 Powell St,Completed,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,105,Lookout Emergency Aid Society,1,Strathcona,476,49.28285515,-123.0956261,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=476
The Londonderry,5550 Yew St,Completed,2008,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,22,Brightside Community Homes Foundation,1,Arbutus-Ridge,663,49.23601141,-123.15812808,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=663
Fraser Place,5616 Fraser St,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Raincity Housing and Support Society,1,Kensington-Cedar Cottage,469,49.23369272,-123.09015786,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=469
Grace Mansion,596 E Hastings St,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,85,Salvation Army,1,Strathcona,687,49.28088944,-123.09190356,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=687
Helping Spirit,1475 - 1495 Kingsway,Completed,2007,0,0,0,0,0,0,0,0,0,0,30,0,0,0,6,0,0,0,36,Helping Spirit Lodge Society,3,Kensington-Cedar Cottage,677,49.24966055,-123.07371806,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=677
Icelandic Residence,2020 Harrison Dr,Completed,2007,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,77,0,Icelandic Care Home Hofn Society,1,Victoria-Fraserview,532,49.2094,-123.0639151,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=532
Jackson Avenue Co-op,230 Jackson Ave,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,19,4,0,19,Jackson Ave Co-op Hsg Assoc,2,Strathcona,526,49.28241323,-123.09310787,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=526
Marble Arch Hotel,518 Richards,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,150,Atira Women’s Resource Society,1,Downtown,673,49.28278806,-123.1132548,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=673
Orange Hall,341 Gore Ave,Completed,2007,0,0,0,0,0,0,0,0,0,0,17,3,0,0,7,0,0,0,27,S.U.C.C.E.S.S,1,Strathcona,681,49.28159583,-123.09778996,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=681
Park Hotel,429 - 433 W Pender St,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,PHS Community Services Society,1,Downtown,672,49.28326902,-123.11218735,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=672
Roosevelt Hotel,166 E Hastings St,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,PHS Community Services Society,1,Downtown,684,49.28104596,-123.10053555,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=684
Southview Heights,3131 E 58th Ave,Completed,2007,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,57,0,Salvation Army,1,Killarney,530,49.21773661,-123.04055272,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=530
St Helen's Hotel,1161 Granville St,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,86,Coast Foundation Society,1,Downtown,666,49.27771178,-123.12594954,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=666
The Rice Block,404 Hawks Ave,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,38,Atira Women’s Resource Society,1,Strathcona,668,49.28086915,-123.08690641,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=668
The Vivian,512 E. Cordova St.,Completed,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,Lookout Emergency Aid Society,1,Strathcona,563,49.28189653,-123.09301216,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=563
Beulah Gardens - Beachwood,3355 E 4th Avenue,Completed,2006,0,0,0,0,0,0,0,0,0,0,48,0,0,0,13,0,0,61,0,Beulah Garden Homes Society,1,Hastings-Sunrise,503,49.26621509,-123.03143236,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=503
Clarendon Court,6404 Clarendon St,Completed,2006,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,Baptist Housing Society of B.C.,1,Victoria-Fraserview,370,49.22554107,-123.05546629,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=370
Harmony House,580 Shanghai Alley,Completed,2006,14,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,33,0,Vancouver Coastal Health,1,Downtown,531,49.27977613,-123.10557988,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=531
Performing Arts Lodge,581 Cardero St,Completed,2006,0,0,0,0,0,0,66,0,0,0,33,0,0,0,0,0,0,99,0,Performing Arts Lodge of Vancouver,1,Downtown,513,49.29141724,-123.13031262,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=513
Granville Residence,1261 Granville St,Completed,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,83,City of Vancouver,4,Downtown,493,49.27669007,-123.12746742,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=493
Smith -Yuen Apartments,475 E Hastings St,Completed,2005,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,Katherine Sanford Housing Society,1,Strathcona,454,49.28153307,-123.09376706,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=454
Chelsea Manor,3640 Victoria Dr,Completed,2004,0,0,0,0,0,0,0,0,0,0,9,0,0,0,28,0,0,37,0,New Chelsea Society,1,Kensington-Cedar Cottage,494,49.25314806,-123.0650132,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=494
Lu'Ma Housing,1254 E 8th Ave,Completed,2004,1,1,1,0,0,0,4,0,0,0,2,4,7,1,1,0,16,0,6,Lu'Ma Native Housing Society,3,Mount Pleasant,400,49.2630781,-123.07803227,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=400
Central Residence,42 E Cordova St,Completed,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,65,City of Vancouver,4,Downtown,485,49.28208473,-123.10326481,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=485
Mole Hill - Phase II,1110 Bute St,Completed,2003,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,2,0,5,Mole Hill Community Housing Society,1,West End,428,49.28265672,-123.1316739,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=428
Mole Hill - Phase II,1170 Comox St,Completed,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,Mole Hill Community Housing Society,1,West End,427,49.28273108,-123.13114679,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=427
Mole Hill - Phase II,1160 Comox St,Completed,2003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,4,Mole Hill Community Housing Society,1,West End,425,49.28249138,-123.13081341,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=425
Mole Hill - Phase II,1154 Comox St,Completed,2003,0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,0,6,0,3,Mole Hill Community Housing Society,1,West End,424,49.28247652,-123.13074874,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=424
Mole Hill - Phase II,1122 Bute St,Completed,2003,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,1,0,7,Mole Hill Community Housing Society,1,West End,429,49.28251479,-123.13184189,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=429
Mole Hill - Phase II,1107 Thurlow St,Completed,2003,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,4,0,2,Mole Hill Community Housing Society,1,West End,438,49.28142047,-123.12999932,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=438
Mole Hill - Phase II,1103 Pendrell St,Completed,2003,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,1,0,5,Mole Hill Community Housing Society,1,West End,437,49.28148904,-123.13021934,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=437
Mole Hill - Phase II,1145 Pendrell St,Completed,2003,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,4,Mole Hill Community Housing Society,1,West End,436,49.28202959,-123.13104989,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=436
Mole Hill - Phase II,1147 Pendrell St,Completed,2003,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,1,0,6,Mole Hill Community Housing Society,1,West End,435,49.28168704,-123.13052304,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=435
Mole Hill - Phase II,1113 Thurlow St,Completed,2003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,Mole Hill Community Housing Society,1,West End,439,49.28135291,-123.13009674,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=439
Mole Hill - Phase II,1119 Thurlow St,Completed,2003,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,7,Mole Hill Community Housing Society,1,West End,440,49.28130065,-123.13017016,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=440
Mole Hill - Phase II,1157 Pendrell St,Completed,2003,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,1,0,8,Mole Hill Community Housing Society,1,West End,434,49.28211595,-123.1311905,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=434
Mole Hill - Phase II,1159 Pendrell St,Completed,2003,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,5,Mole Hill Community Housing Society,1,West End,433,49.28215799,-123.1312441,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=433
Mole Hill - Phase II,1163 Pendrell St,Completed,2003,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,5,Mole Hill Community Housing Society,1,West End,432,49.28224346,-123.13138884,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=432
Mole Hill - Phase II,1169 Pendrell St,Completed,2003,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,5,Mole Hill Community Housing Society,1,West End,431,49.2822864,-123.13144244,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=431
Mole Hill - Phase II,1173 Pendrell St,Completed,2003,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,7,Mole Hill Community Housing Society,1,West End,430,49.28202959,-123.13104989,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=430
Stanley/New Fountain,35 W Cordova St,Completed,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,80,PHS Community Services Society,1,Downtown,468,49.2828738,-123.10522539,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=468
YWCA Crabtree Corner,533 E Hastings St,Completed,2003,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12,YWCA Vancouver,1,Strathcona,399,49.28150949,-123.09237802,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=399
Alumnae Manor,1962 W 1st Ave,Completed,2002,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,20,Coast Foundation Society,1,Kitsilano,489,49.27045637,-123.1493369,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=489
C-Side,1288 W Cordova St,Completed,2002,0,8,0,0,0,0,0,0,0,0,1,60,38,6,0,0,113,0,0,Affordable Housing Societies,1,Downtown,393,49.28954846,-123.12376394,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=393
Candela Place,1265 Granville St,Completed,2002,0,0,0,0,6,0,0,0,0,0,1,0,0,0,56,0,0,0,63,More Than a Roof Mennonite Housing Society,1,Downtown,390,49.27658027,-123.12765023,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=390
City Gate Co-op,188 Milross Ave,Completed,2002,0,0,0,0,0,0,0,0,0,0,10,53,25,14,0,0,92,0,10,City Gate Co-op Hsg Asoc.,2,Downtown,394,49.27563582,-123.10039806,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=394
Lookout (Yukon Transitional Housing),2088 Yukon St,Completed,2002,0,0,0,0,2,0,0,0,0,0,5,0,0,0,30,0,0,0,37,Lookout Emergency Aid Society,1,Mount Pleasant,397,49.26689088,-123.11236726,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=397
Lore Krill Co-op,65 W Cordova St,Completed,2002,0,0,0,0,0,0,0,0,0,0,82,10,0,0,14,0,10,0,96,Lore Krill Co-operative Housing Association,2,Downtown,382,49.28306444,-123.10598488,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=382
Lore Krill Co-op,239 E Georgia St,Completed,2002,0,0,0,0,3,0,0,0,0,0,52,23,9,10,0,0,42,0,55,Lore Krill Co-operative Housing Association,2,Strathcona,386,49.27881639,-123.09841302,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=386
Maurice McElrea Place,361 Heatley Ave,Completed,2002,0,0,0,0,3,0,0,0,0,0,3,0,0,0,75,0,0,0,81,Union Gospel Mission,1,Strathcona,388,49.28146285,-123.08987395,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=388
Mole Hill - Phase I,1137 Pendrell St,Completed,2002,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,1,0,6,Mole Hill Community Housing Society,1,West End,422,49.28181043,-123.1306738,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=422
Mole Hill - Phase I,1139 Pendrell St,Completed,2002,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,5,Mole Hill Community Housing Society,1,West End,423,49.28190074,-123.13085223,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=423
Mole Hill - Phase I,1129 Pendrell St,Completed,2002,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,2,0,5,Mole Hill Community Housing Society,1,West End,453,49.28181043,-123.1306738,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=453
Mole Hill - Phase I,1127 Pendrell St,Completed,2002,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,1,0,6,Mole Hill Community Housing Society,1,West End,421,49.28168704,-123.13052304,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=421
Mole Hill - Phase I,1136 Comox St,Completed,2002,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,2,0,5,Mole Hill Community Housing Society,1,West End,418,49.28222061,-123.13035618,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=418
Mole Hill - Phase II,1164 Comox St,Completed,2002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Mole Hill Community Housing Society,1,West End,426,49.28260492,-123.13095052,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=426
Somerville Place,377 Powell  St,Completed,2002,0,0,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0,0,31,The Bloom Group,1,Strathcona,344,49.2833689,-123.09593061,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=344
Bridge Housing,100 E Cordova St,Completed,2001,4,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,36,Bridge Housing Society for Women,1,Downtown,342,49.28207009,-123.1019758,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=342
Bridget Moran Place,668 Powell St,Completed,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,0,0,0,61,Neighbourhood Housing Society,1,Strathcona,391,49.28274762,-123.09001295,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=391
Claude Douglas Place,2626 Watson St,Completed,2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,39,Vancouver Native Housing Society,3,Mount Pleasant,389,49.26173676,-123.10014836,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=389
Collingwood Village Co-op,3501 Euclid Ave,Completed,2001,2,2,0,0,0,0,0,0,0,0,5,34,27,9,0,0,72,0,7,Collingwood Village Co-op Housing Association,2,Renfrew-Collingwood,395,49.23530774,-123.02973841,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=395
Glynn Manor,520 W 7th Ave,Completed,2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,0,0,0,49,Brightside Community Homes Foundation,1,Fairview,387,49.26473908,-123.11567548,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=387
Mole Hill - Phase I,1146 Comox St,Completed,2001,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,5,Mole Hill Community Housing Society,1,West End,420,49.28234947,-123.13055589,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=420
Mole Hill - Phase I,1140 Comox St,Completed,2001,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,2,0,4,Mole Hill Community Housing Society,1,West End,419,49.28224303,-123.13041784,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=419
Mole Hill - Phase I,1122 Comox St,Completed,2001,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,2,0,5,Mole Hill Community Housing Society,1,West End,417,49.28198668,-123.13002325,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=417
Mole Hill - Phase I,1114 Comox St,Completed,2001,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,1,0,8,Mole Hill Community Housing Society,1,West End,392,49.28185872,-123.1298249,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=392
Mole Hill - Phase I,1120 Comox St,Completed,2001,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,5,Mole Hill Community Housing Society,1,West End,416,49.28196516,-123.12996502,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=416
Norah Davis Gardens,2320 Franklin St,Completed,2001,1,0,1,0,0,0,0,0,0,0,5,13,10,3,0,0,28,0,5,Kiwassa Housing Society,3,Grandview-Woodland,377,49.2818226,-123.05727353,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=377
The Crowne,5750 Oak St,Completed,2001,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,Vancouver Jewish Building Society,1,Oakridge,381,49.23342156,-123.12761225,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=381
Triumph Apartments,2111 Triumph St,Completed,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,Katherine Sanford Housing Society,1,Grandview-Woodland,396,49.28415864,-123.06142628,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=396
Yaletown Mews,201 Alvin Narod Mews,Completed,2001,1,7,0,0,0,0,0,0,0,0,0,31,21,0,0,0,59,0,1,Affordable Housing Societies,1,Downtown,380,49.27489914,-123.12004247,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=380
East 16th Apartments,561 E 16th Ave,Completed,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,18,Katherine Sanford Housing Society,1,Mount Pleasant,366,49.25674495,-123.09238307,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=366
Ian Leman Place,27 W Pender St,Completed,2000,6,0,0,0,5,0,0,0,0,0,10,0,0,0,77,0,0,0,98,Vancouver Native Housing Society,3,Downtown,361,49.28104614,-123.10573543,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=361
New Portland Hotel,20 W  Hastings St,Completed,2000,0,0,0,0,0,8,0,0,0,0,18,0,0,0,0,60,0,0,86,PHS Community Services Society,1,Downtown,356,49.28138819,-123.10547529,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=356
Regal Place Hotel,146 W Hastings St,Completed,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,PHS Community Services Society,1,Downtown,383,49.28198916,-123.10880758,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=383
Seymour Place,1221 Seymour St,Completed,2000,0,0,0,0,9,0,0,0,0,0,10,0,0,0,117,0,0,0,136,Affordable Housing Societies,1,Downtown,362,49.27641924,-123.12591112,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=362
The Oasis,40 E Hastings St,Completed,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,0,0,0,84,Neighbourhood Housing Society,1,Downtown,376,49.2811002,-123.10336736,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=376
Vanness Park,3278 Vanness  Ave,Completed,2000,0,0,0,0,0,0,0,0,0,0,10,13,4,2,1,0,21,0,9,Affordable Housing Societies,1,Renfrew-Collingwood,378,49.23941885,-123.03526734,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=378
Arbutus Co-op,2260 W 10th Ave,Completed,1999,8,0,0,0,0,0,0,0,0,0,16,18,6,5,0,0,29,0,24,Arbutus Co-op Housing Association,2,Kitsilano,338,49.26266151,-123.15668311,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=338
Lions Millenium Place,3655 Clark Dr,Completed,1999,12,4,2,0,0,0,6,10,5,0,0,0,0,0,0,0,0,0,39,Lions Paraplegic Lodge Society,1,Kensington-Cedar Cottage,341,49.25232759,-123.07858216,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=341
Quayside,1010 Pacific Blvd,Completed,1999,1,4,0,0,0,0,0,0,0,0,8,45,25,10,0,0,84,9,0,Red Door Housing Society,1,Downtown,349,49.27357694,-123.1155317,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=349
St. George's Place,2938 Laurel St,Completed,1999,6,3,0,0,0,0,1,3,4,0,2,0,0,0,0,0,10,0,9,St. George's Place Housing Society,1,Fairview,339,49.25893455,-123.12400793,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=339
St. James Place,340 E Cordova St,Completed,1999,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,27,0,St. Luke's Home Society,1,Strathcona,368,49.28197811,-123.09658287,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=368
Sunrise Hotel,101 E Hastings St,Completed,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,48,PHS Community Services Society,1,Downtown,372,49.2816808,-123.10200147,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=372
The Edge,275 Alexander St,Completed,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,The Core Artists Co-op,2,Strathcona,367,49.28443077,-123.09842997,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=367
Washington Hotel,177 E Hastings St,Completed,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,81,PHS Community Services Society,1,Downtown,373,49.28165623,-123.10049774,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=373
Bruce Eriksen Place,380 Main St,Completed,1998,0,0,0,0,3,0,0,0,0,0,0,0,0,0,32,0,0,0,35,Neighbourhood Housing Society,1,Strathcona,358,49.28168215,-123.09917453,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=358
City Vista,671 W 8th Ave,Completed,1998,0,0,0,0,0,0,0,0,0,0,0,9,16,1,0,0,26,0,0,Affordable Housing Societies,1,Fairview,345,49.26443301,-123.11938593,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=345
Coal Harbour Co-op,599 Nicola St,Completed,1998,9,5,0,0,0,0,0,0,0,0,4,52,26,3,0,0,87,0,12,Coal Harbour Co-op Housing Association,2,Downtown,347,49.29092964,-123.12895356,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=347
