Name,Address,Project_Status,Occupancy_Year,Design___Accessible_1BR,Design___Accessible_2BR,Design___Accessible_3BR,Design___Accessible_4BR,Design___Accessible_Studio,Design___Accessible_Room,Design___Adaptable_1BR,Design___Adaptable_2BR,Design___Adaptable_3BR,Design___Adaptable_4BR,Design___Standard_1BR,Design___Standard_2BR,Design___Standard_3BR,Design___Standard_4BR,Design___Standard_Studio,Design___Standard_Room,Clientele__Families,Clientele___Seniors,Clientele___Other,Operator,Operator_type,Local_Area,Index_Number,Latitude,Longitude,URL
55-70 SW Marine Drive,55-79 SW Marine Drive,Approved,,,,,,,,,,,,15,15,13,,10,,28,0,25,,5,Marpole,815,49.212704,-123.10772865,
58 W Hastings,58 W Hastings,Approved,,,,,,,,,,,,17,54,,,160,,0,0,231,,5,Downtown,820,49.28152394,-123.10623723,
650 W 41 (Oakridge),650 W 41 Ave,Approved,,,,,,,,,,,,,,,,,,0,0,290,Sanford Housing Society,1,Oakridge,831,49.23206523,-123.11885482,
87-115 SW Marine Drive,87-115 SW Marine Drive,Approved,,,,,,,,,,,,23,15,10,,,,25,0,23,,5,Marpole,816,49.21272159,-123.1084431,
First Baptist Church,969 Burrard Street,Approved,,,,,,,,,,,,25,17,5,,14,,22,0,39,,5,West End,793,49.28185115,-123.12645824,
Heather Place,"706 W 13th Ave, 725 W 14th Ave",Approved,,,,,,,,,,,,59,43,31,,10,,74,0,69,,5,Fairview,785,49.25927307,-123.12097148,
Little Mountain,155 E 37th Avenue,Approved,,,,,,,,,,,,38,14,6,,,,20,0,38,,5,Riley Park,795,49.23763885,-123.10260504,
Mi Casa,870 E 8th Avenue,Approved,,,,,,,,,,,,20,14,17,,,,31,20,0,,5,Mount Pleasant,804,49.2631267,-123.08566017,
Pearson Dogwood,500-650 W 57 Avenue,Approved,,,,,,,,,,,,,,,,,,0,0,540,,5,Marpole,800,49.21835764,-123.11780837,
River District 3,3183 Pierview Crescent,Approved,,,,,,,,,,,,11,44,25,,9,,69,0,20,,5,Killarney,809,49.20767029,-123.03975498,
